# Total: VARA 197423.68069300472, veVARA 0
0xFAf987fE64C815f64B24449Ce6687D8b2CCc7371,660648064218075500000
0xCB6586874cc04B01Cc4fDB777dE502cEa7b3D6c1,3427277886897000400000
0x8825be873e6578F1703628281600d5887C41C55A,4954127739992219000000
0x3Fd5dBF9f74d69b71774d729dd84bd8b3DB7E815,43796159704956710000000
0xa458D0672E69829989d3C01e2b02211132286ba8,385355000599108700000
0xfcb3E3797A77946891c88A841d35d47c8F22CF53,8615482513644341000000
0x0a3043F9d2b1c6cCfc492EB59Af5156F378c57BD,3981066281473084500000
0x62707F17000355C1115DcB52309686ACB4bfa52D,298557616899997100000
0x7798Ba9512B5A684C12e31518923Ea4221A41Fb9,388854764086848200000
0xF2455A4c6fcC6F41f59222F4244AFdDC85ff1Ed7,1037741978289929200000
0xda1d9534BeF3344Fa5be3B644b767b349e7415C7,4179655509059828000000
0xA9e9E0414D52658515EB9dB6DcDc6055396A031a,796062910204664700000
0xCe797b56F9637aaf4058C38093949AAfbf48Ef57,358206924373126240000
0x0441a20748c49d57F472C0D5353907Dd74A39A9F,732329651781923600000
0x00a01bC13a1DdF4a4Af6852baeE66b76A0316CBc,5572951247700231000000
0x920ECAaDE776B466A550EE3FA6dc860f1A78f78A,408759512680052900000
0x9c4b88fBE06b6B1E461d9D294ecB7FB0c841dB4f,676546822851011800000
0x4b8B235c511f0c830264c7761520b1F9AD441716,397967150518583300000
0xEe74DCd8F7D13b2502998B35303010f379a594D1,802066315582684000000
0x686878c03282b225d7331bf3Deafdf27Cd6a38F6,12697002656931705000000
0xF712aB8c4505eB4B36a2Ff9Fa746470be81E6538,26515135479472574000000
0xb7658AAC84dBe5924Badc9d780c36442dD46306e,1114253043141145000000
0x8d2B77aDC47B45df40C11407e765FA7b7A99cAB2,213366093767383300000
0x2bcDCA8c689b4aA460B66FFde1d6B1761d41d5dF,815783342246840600000
0xbe7DD82FACD47D3598803F44CB980078466aEBA3,12627098487380940000000
0x4f555e32E41c6f646ca72A93130fD24be10A8016,916036874650775200000
0x3055F3Cd374Cf5B49C5DEB05C1Cb7389635E41a4,963018750793852500000
0x3214e141bdAe08Be1f382A885cf3d2a448A5E780,654243400726801400000
0xFb9b19c5e69125a27ecB9D6f2cf01bF595040B49,663550296623084900000
0x8019067C09Ea6587383f728Bdc708f41590a12ce,1304594043007890000000
0xF130a45103142e1e3f47dD7CA4dDa85f80517641,676486612995118300000
0xd1779622B76824F952bF89b3bc009F6dB19BE701,676483483747402600000
0x77d0Fb80eb7902c9A8952A47e0D189dB845fceb7,676482010530193400000
0x61dF8D646609545E63d8F4AB37141149c1c8b849,676476257471053900000
0xA1f65Ac7bEfCFB2a60F46F719b6fe306da39d351,676472515307399500000
0xcD763667cd74543Bd05c19386347441D3D3f6392,182675753312095620000
0x9A37C9Dc1c8498f94a31b033b8D55a52B8931B76,871946241716160800000
0x3ca2c227D47DF650ffcD39b64527e7c6e2E91DD1,5968777691326125000000
0x177772aF6669aCa61C23D325AB4213E8BA56c79D,1989587250412689000000
0xfC3bC5c1a6Af3544B67834E13f11BD125dBa03EB,2413641722948696500000
0x8E72a24221517E51502f20f387415a06b27A5b51,965502983641425200000
0x8a5706912440BBa1449fb0B4Ba0e33E59183bC7e,2808777395820389800000
0x5d6F3d0c92D0564151357B0863E55e9ed4631b8d,13046717958441228000000
0x15bbcF76110505D3BE5a9EB10c63F57F66D20c40,1875714134070374300000
0xCDEdCee9C46284667997eB4D29f8427b696dA3df,2186123349499315700000
0x5d49FAbc2516C8C4Aa5F8d4ec2e0b8C54368F636,660504805814526200000
0x91b7377A3Dd7931Ad4757B60d7E859954B939E85,442237043539266440000
0xC40ebdC95E9fAe4AdA1a2c5093d0599AfE0256bD,2255750412752292500000
0xbaA1Ce8B787d3d0c386b5785c2416A2f89391c92,821435508473786100000
0x6a4a7ACb12032Ee8775FEF305366873975b5367D,660482466313988700000
0xE10f521a84bD7E949A012B812d060Fe5fB2c3dC8,2381544413333678000000
0x6D1E0084a6910a8803ab7c22483A1a2Db3F1001a,684350343860675400000
0xe27597Af91352537f4EA74622B5a2BA6d464d9EE,667366831873648400000
0x6D0f9B11EDF779b063590ADc4D2D3036311F012A,698690743362500100000
0x52B4868b362aDC3365B9A110EcBFE71e2b36baB2,660469278720387900000
0xEa16545cF2E4C30b38B156CDA0972BE63cE71d50,660463251949947900000
0xBE46FC5cB5b4b20d636DFe193b08F40fBcfBf898,2111686648151140600000
0xBa971F58A00e8ffC7E91C0e8E7efcCBfbfE8F09e,1356720042886322500000
0x38332d808BA345953f41c71D38CA1EF79CffA5c5,28845099333998223000000
0x8f2ffa4Fe0a0cE367D9039E0e5d09fC3e76bAf95,1190937641785236800000
0x31796f518c2BA6f2Ea1F01aEaF5a42a4e374dC7a,1400038529699751300000
0xF13FB1113138b94deEcb91E1ca27CEc90b062835,1432262294626195200000
0x86E50F9ceEEf970A2a1514dA164F6F09516ed929,736017512737993100000
0xec2A07fe0fD0387F72fB09Af1422043a731Ac1e7,701374133524847400000
0x64931189b070Fc7C8c80839C8a2d9a10b83082AB,656445787283706400000
0x371B6D542a2471c1E8f38495e0dea578D00a377C,2357424948610520500000
0x02D5Aaf51E74Be71Ad72A5D8623f544112bFb18E,598398235267414300000
0xA3fF2D14b8289D00c22C7917cC85812a7Fb4CA77,1568552517200554300000
